infinitif,conjugated_like,participe_présent,participe_passé,forme_pronominale
flamber,parler,flambant,flambé,–
croître,accroître,croissant,"cri class=""defect""ûi",–
succomber,parler,succombant,succombé,–
duper,parler,dupant,dupé,se duper 
gésir,gésir,gisant,–,–
caser,parler,casant,casé,se caser 
dissiper,parler,dissipant,dissipé,–
dérailler,parler,déraillant,déraillé,–
vibrer,parler,vibrant,vibré,–
intituler,parler,intitulant,intitulé,–
présider,parler,présidant,présidé,–
souligner,parler,soulignant,souligné,–
dévouer,parler,dévouant,dévoué,se dévouer 
renouveler,appeler,renouvelant,renouvelé,se renouveler 
importuner,parler,importunant,importuné,–
pourchasser,parler,pourchassant,pourchassé,se pourchasser 
révolter,parler,révoltant,révolté,se révolter 
allier,copier,alliant,allié,s'allier 
truquer,parler,truquant,truqué,–
stimuler,parler,stimulant,stimulé,se stimuler 
compenser,parler,compensant,compensé,–
cramer,parler,cramant,cramé,se cramer 
peupler,parler,peuplant,peuplé,–
engloutir,choisir,engloutissant,englouti,–
répugner,parler,répugnant,répugné,–
dépouiller,parler,dépouillant,dépouillé,se dépouiller 
persécuter,parler,persécutant,persécuté,–
épanouir,choisir,épanouissant,épanoui,s'épanouir 
combiner,parler,combinant,combiné,–
divertir,choisir,divertissant,diverti,se divertir 
figer,manger,figeant,figé,se figer 
ligoter,parler,ligotant,ligoté,–
flairer,parler,flairant,flairé,–
accumuler,parler,accumulant,accumulé,–
bercer,commencer,berçant,bercé,se bercer 
damner,parler,damnant,damné,se damner 
rincer,commencer,rinçant,rincé,se rincer 
éjecter,parler,éjectant,éjecté,–
frôler,parler,frôlant,frôlé,se frôler 
solliciter,parler,sollicitant,sollicité,–
enlacer,commencer,enlaçant,enlacé,s'enlacer 
transpercer,commencer,transperçant,transpercé,se transpercer 
daigner,parler,daignant,daigné,–
faufiler,parler,faufilant,faufilé,se faufiler 
esquiver,parler,esquivant,esquivé,s'esquiver 
trimer,parler,trimant,trimé,–
incendier,copier,incendiant,incendié,–
attarder,parler,attardant,attardé,s'attarder 
enfouir,choisir,enfouissant,enfoui,s'enfouir 
diplômer,parler,diplômant,diplômé,–
klaxonner,parler,klaxonnant,klaxonné,–
orchestrer,parler,orchestrant,orchestré,–
dériver,parler,dérivant,dérivé,–
paumer,parler,paumant,paumé,se paumer 
trouer,parler,trouant,troué,–
crucifier,copier,crucifiant,crucifié,–
assigner,parler,assignant,assigné,s'assigner 
succéder,céder,succédant,succédé,se succéder 
charrier,copier,charriant,charrié,–
savourer,parler,savourant,savouré,–
indigner,parler,indignant,indigné,s'indigner 
appréhender,parler,appréhendant,appréhendé,–
rappliquer,parler,rappliquant,rappliqué,se rappliquer 
tatouer,parler,tatouant,tatoué,se tatouer 
abréger,protéger,abrégeant,abrégé,s'abréger 
déboucher,parler,débouchant,débouché,–
interner,parler,internant,interné,s'interner 
caler,parler,calant,calé,se caler 
gaver,parler,gavant,gavé,se gaver 
nécessiter,parler,nécessitant,nécessité,–
anticiper,parler,anticipant,anticipé,–
blasphémer,céder,blasphémant,blasphémé,–
broyer,employer,broyant,broyé,se broyer 
doter,parler,dotant,doté,se doter 
sélectionner,parler,sélectionnant,sélectionné,–
biper,parler,bipant,bipé,–
mendier,copier,mendiant,mendié,–
recharger,manger,rechargeant,rechargé,se recharger 
reconstituer,parler,reconstituant,reconstitué,se reconstituer 
spécialiser,parler,spécialisant,spécialisé,se spécialiser 
bricoler,parler,bricolant,bricolé,se bricoler 
décamper,parler,décampant,décampé,–
écorcher,parler,écorchant,écorché,s'écorcher 
saccager,manger,saccageant,saccagé,–
mobiliser,parler,mobilisant,mobilisé,se mobiliser 
chourer,parler,chourant,chouré,–
fleurir,choisir,fleurissant,fleuri,se fleurir 
tâter,parler,tâtant,tâté,se tâter 
devancer,commencer,devançant,devancé,–
dissoudre,absoudre,dissolvant,"dissous, i class=""defect""dissoute, dissoutesi",se dissoudre 
susciter,parler,suscitant,suscité,–
ensorceler,appeler,ensorcelant,ensorcelé,s'ensorceler 
expérimenter,parler,expérimentant,expérimenté,–
orienter,parler,orientant,orienté,s'orienter 
entasser,parler,entassant,entassé,–
masturber,parler,masturbant,masturbé,se masturber 
éblouir,choisir,éblouissant,ébloui,s'éblouir 
percuter,parler,percutant,percuté,–
assembler,parler,assemblant,assemblé,s'assembler 
frémir,choisir,frémissant,frémi,–
bénéficier,copier,bénéficiant,bénéficié,–
congeler,acheter,congelant,congelé,se congeler 
déraper,parler,dérapant,dérapé,–
fracasser,parler,fracassant,fracassé,–
moisir,choisir,moisissant,moisi,–
résigner,parler,résignant,résigné,se résigner 
bûcher,parler,bûchant,bûché,se bûcher 
sanctifier,copier,sanctifiant,sanctifié,se sanctifier 
skier,copier,skiant,skié,–
amocher,parler,amochant,amoché,s'amocher 
remédier,copier,remédiant,remédié,–
incinérer,céder,incinérant,incinéré,–
rabaisser,parler,rabaissant,rabaissé,se rabaisser 
border,parler,bordant,bordé,se border 
mûrir,choisir,mûrissant,mûri,–
conter,parler,contant,conté,se conter 
déguerpir,choisir,déguerpissant,déguerpi,–
enrouler,parler,enroulant,enroulé,s'enrouler 
froisser,parler,froissant,froissé,–
masquer,parler,masquant,masqué,se masquer 
resserrer,parler,resserrant,resserré,se resserrer 
faner,parler,fanant,fané,–
hypnotiser,parler,hypnotisant,hypnotisé,s'hypnotiser 
émerger,manger,émergeant,émergé,s'émerger 
décapiter,parler,décapitant,décapité,–
redemander,parler,redemandant,redemandé,se redemander 
différer,céder,différant,différé,–
teindre,atteindre,teignant,teint,se teindre 
dégrader,parler,dégradant,dégradé,se dégrader 
recoucher,parler,recouchant,recouché,se recoucher 
traire,distraire,trayant,trait,se traire 
comploter,parler,complotant,comploté,–
gicler,parler,giclant,giclé,–
trier,copier,triant,trié,–
chevaucher,parler,chevauchant,chevauché,se chevaucher 
frimer,parler,frimant,frimé,–
dissuader,parler,dissuadant,dissuadé,se dissuader 
persister,parler,persistant,persisté,–
alléger,protéger,allégeant,allégé,s'alléger 
ravager,manger,ravageant,ravagé,se ravager 
clarifier,copier,clarifiant,clarifié,–
amputer,parler,amputant,amputé,s'amputer 
gracier,copier,graciant,gracié,se gracier 
nouer,parler,nouant,noué,–
riposter,parler,ripostant,riposté,–
superviser,parler,supervisant,supervisé,–
couver,parler,couvant,couvé,–
déballer,parler,déballant,déballé,se déballer 
initier,copier,initiant,initié,s'initier 
déjouer,parler,déjouant,déjoué,–
submerger,manger,submergeant,submergé,–
berner,parler,bernant,berné,se berner 
dépanner,parler,dépannant,dépanné,se dépanner 
rafler,parler,raflant,raflé,–
décliner,parler,déclinant,décliné,–
bafouer,parler,bafouant,bafoué,se bafouer 
dessécher,céder,desséchant,desséché,se dessécher 
stocker,parler,stockant,stocké,–
administrer,parler,administrant,administré,s'administrer 
broder,parler,brodant,brodé,–
formuler,parler,formulant,formulé,–
grignoter,parler,grignotant,grignoté,–
accroître,accroître,accroissant,accru,s'accroître 
fausser,parler,faussant,faussé,–
rejouer,parler,rejouant,rejoué,se rejouer 
rétrécir,choisir,rétrécissant,rétréci,se rétrécir 
retaper,parler,retapant,retapé,se retaper 
éternuer,parler,éternuant,éternué,–
dégoter,parler,dégotant,dégoté,se dégoter 
river,parler,rivant,rivé,se river 
amasser,parler,amassant,amassé,s'amasser 
compatir,choisir,compatissant,compati,–
consigner,parler,consignant,consigné,–
revaloir,valoir,revalant,revalu,se revaloir 
ratisser,parler,ratissant,ratissé,se ratisser 
halluciner,parler,hallucinant,halluciné,–
rebondir,choisir,rebondissant,rebondi,se rebondir 
embellir,choisir,embellissant,embelli,s'embellir 
défouler,parler,défoulant,défoulé,se défouler 
farcir,choisir,farcissant,farci,se farcir 
implanter,parler,implantant,implanté,s'implanter 
polluer,parler,polluant,pollué,se polluer 
ébranler,parler,ébranlant,ébranlé,s'ébranler 
désapprouver,parler,désapprouvant,désapprouvé,se désapprouver 
piler,parler,pilant,pilé,–
contracter,parler,contractant,contracté,se contracter 
disjoncter,parler,disjonctant,disjoncté,–
incarner,parler,incarnant,incarné,s'incarner 
sonder,parler,sondant,sondé,se sonder 
décimer,parler,décimant,décimé,–
défigurer,parler,défigurant,défiguré,se défigurer 
empester,parler,empestant,empesté,–
griffer,parler,griffant,griffé,se griffer 
étirer,parler,étirant,étiré,s'étirer 
adoucir,choisir,adoucissant,adouci,s'adoucir 
dispenser,parler,dispensant,dispensé,se dispenser 
désinfecter,parler,désinfectant,désinfecté,se désinfecter 
repêcher,parler,repêchant,repêché,se repêcher 
ruer,parler,ruant,rué,se ruer 
échauffer,parler,échauffant,échauffé,s'échauffer 
éplucher,parler,épluchant,épluché,s'éplucher 
favoriser,parler,favorisant,favorisé,se favoriser 
châtier,copier,châtiant,châtié,–
renfermer,parler,renfermant,renfermé,se renfermer 
prostituer,parler,prostituant,prostitué,se prostituer 
effleurer,parler,effleurant,effleuré,s'effleurer 
immobiliser,parler,immobilisant,immobilisé,s'immobiliser 
saper,parler,sapant,sapé,se saper 
sévir,choisir,sévissant,sévi,–
affliger,manger,affligeant,affligé,s'affliger 
braver,parler,bravant,bravé,se braver 
souder,parler,soudant,soudé,se souder 
torcher,parler,torchant,torché,se torcher 
tricoter,parler,tricotant,tricoté,–
différencier,copier,différenciant,différencié,se différencier 
sommer,parler,sommant,sommé,–
raffoler,parler,raffolant,raffolé,–
émigrer,parler,émigrant,émigré,s'émigrer 
galoper,parler,galopant,galopé,–
verger,manger,vergeant,vergé,–
profaner,parler,profanant,profané,se profaner 
retravailler,parler,retravaillant,retravaillé,–
ruser,parler,rusant,rusé,–
entuber,parler,entubant,entubé,–
orner,parler,ornant,orné,s'orner 
pulvériser,parler,pulvérisant,pulvérisé,–
démanger,manger,démangeant,démangé,–
ensevelir,choisir,ensevelissant,enseveli,s'ensevelir 
grouper,parler,groupant,groupé,se grouper 
régir,choisir,régissant,régi,–
regrouper,parler,regroupant,regroupé,se regrouper 
abolir,choisir,abolissant,aboli,–
étriper,parler,étripant,étripé,–
démentir,partir,démentant,démenti,se démentir 
enivrer,parler,enivrant,enivré,s'enivrer 
fouler,parler,foulant,foulé,se fouler 
remballer,parler,remballant,remballé,–
tramer,parler,tramant,tramé,–
dédommager,manger,dédommageant,dédommagé,se dédommager 
étreindre,atteindre,étreignant,étreint,s'étreindre 
décoder,parler,décodant,décodé,–
dévier,copier,déviant,dévié,–
enrôler,parler,enrôlant,enrôlé,s'enrôler 
flancher,parler,flanchant,flanché,–
référer,céder,référant,référé,se référer 
grogner,parler,grognant,grogné,–
astiquer,parler,astiquant,astiqué,s'astiquer 
boulanger,manger,boulangeant,boulangé,–
épeler,appeler,épelant,épelé,s'épeler 
acharner,parler,acharnant,acharné,secharner 
conférer,céder,conférant,conféré,–
longer,manger,longeant,longé,–
puiser,parler,puisant,puisé,–
tisser,parler,tissant,tissé,–
attendrir,choisir,attendrissant,attendri,s'attendrir 
déguster,parler,dégustant,dégusté,–
dégénérer,céder,dégénérant,dégénéré,–
réintégrer,céder,réintégrant,réintégré,–
traumatiser,parler,traumatisant,traumatisé,se traumatiser 
empocher,parler,empochant,empoché,–
insérer,céder,insérant,inséré,s'insérer 
privilégier,copier,privilégiant,privilégié,se privilégier 
ranimer,parler,ranimant,ranimé,se ranimer 
sculpter,parler,sculptant,sculpté,–
éclipser,parler,éclipsant,éclipsé,s'éclipser 
divaguer,parler,divaguant,divagué,–
brailler,parler,braillant,braillé,–
rôtir,choisir,rôtissant,rôti,–
visser,parler,vissant,vissé,se visser 
revendiquer,parler,revendiquant,revendiqué,se revendiquer 
glander,parler,glandant,glandé,–
décomposer,parler,décomposant,décomposé,se décomposer 
exhiber,parler,exhibant,exhibé,s'exhiber 
répartir,choisir,répartissant,réparti,se répartir 
siéger,protéger,siégeant,siégé,–
retentir,choisir,retentissant,retenti,–
assaillir,assaillir,assaillant,assailli,s'assaillir 
chantonner,parler,chantonnant,chantonné,–
courber,parler,courbant,courbé,se courber 
grincer,commencer,grinçant,grincé,–
marchander,parler,marchandant,marchandé,–
pirater,parler,piratant,piraté,–
recoller,parler,recollant,recollé,se recoller 
déconseiller,parler,déconseillant,déconseillé,–
embaumer,parler,embaumant,embaumé,–
escroquer,parler,escroquant,escroqué,–
générer,céder,générant,généré,–
transcender,parler,transcendant,transcendé,se transcender 
agripper,parler,agrippant,agrippé,s'agripper 
fuguer,parler,fuguant,fugué,–
perpétuer,parler,perpétuant,perpétué,se perpétuer 
éventrer,parler,éventrant,éventré,–
cligner,parler,clignant,cligné,–
désamorcer,commencer,désamorçant,désamorcé,se désamorcer 
simplifier,copier,simplifiant,simplifié,se simplifier 
courtiser,parler,courtisant,courtisé,–
décommander,parler,décommandant,décommandé,se décommander 
incruster,parler,incrustant,incrusté,–
railler,parler,raillant,raillé,se railler 
sauvegarder,parler,sauvegardant,sauvegardé,–
tondre,vendre,tondant,tondu,se tondre 
émaner,parler,émanant,émané,–
chambouler,parler,chamboulant,chamboulé,–
épingler,parler,épinglant,épinglé,–
déformer,parler,déformant,déformé,se déformer 
déporter,parler,déportant,déporté,se déporter 
interférer,céder,interférant,interféré,–
enclencher,parler,enclenchant,enclenché,–
impatienter,parler,impatientant,impatienté,s'impatienter 
omettre,mettre,omettant,omis,s'omettre 
redoubler,parler,redoublant,redoublé,se redoubler 
vautrer,parler,vautrant,vautré,se vautrer 
zapper,parler,zappant,zappé,–
jaser,parler,jasant,jasé,–
réprimer,parler,réprimant,réprimé,se réprimer 
attrister,parler,attristant,attristé,s'attrister 
commenter,parler,commentant,commenté,–
varier,copier,variant,varié,–
voguer,parler,voguant,vogué,–
frustrer,parler,frustrant,frustré,se frustrer 
revêtir,vêtir,revêtant,revêtu,se revêtir 
adhérer,céder,adhérant,adhéré,–
attester,parler,attestant,attesté,–
dorer,parler,dorant,doré,se dorer 
embraser,parler,embrasant,embrasé,s'embraser 
absoudre,absoudre,absolvant,"absous, i class=""defect""absoute, absoutesi",s'absoudre 
trotter,parler,trottant,trotté,se trotter 
aérer,céder,aérant,aéré,s'aérer 
engraisser,parler,engraissant,engraissé,–
menotter,parler,menottant,menotté,se menotter 
récapituler,parler,récapitulant,récapitulé,se récapituler 
symboliser,parler,symbolisant,symbolisé,–
réécrire,écrire,réécrivant,réécrit,se réécrire 
aventurer,parler,aventurant,aventuré,s'aventurer 
instaurer,parler,instaurant,instauré,s'instaurer 
relayer,payer,relayant,relayé,se relayer 
aiguiser,parler,aiguisant,aiguisé,s'aiguiser 
altérer,céder,altérant,altéré,s'altérer 
convier,copier,conviant,convié,–
faiblir,choisir,faiblissant,faibli,–
mutiler,parler,mutilant,mutilé,se mutiler 
terrer,parler,terrant,terré,se terrer 
bâillonner,parler,bâillonnant,bâillonné,se bâillonner 
bégayer,payer,bégayant,bégayé,–
clamer,parler,clamant,clamé,–
détromper,parler,détrompant,détrompé,se détromper 
déconnecter,parler,déconnectant,déconnecté,se déconnecter 
enrhumer,parler,enrhumant,enrhumé,s'enrhumer 
gravir,choisir,gravissant,gravi,–
illustrer,parler,illustrant,illustré,s'illustrer 
jeûner,parler,jeûnant,jeûné,–
priser,parler,prisant,prisé,se priser 
toper,parler,topant,topé,–
barder,parler,bardant,bardé,se barder 
faxer,parler,faxant,faxé,–
filtrer,parler,filtrant,filtré,–
résulter,parler,résultant,résulté,–
auditionner,parler,auditionnant,auditionné,–
mémoriser,parler,mémorisant,mémorisé,–
abrutir,choisir,abrutissant,abruti,s'abrutir 
innocenter,parler,innocentant,innocenté,s'innocenter 
labourer,parler,labourant,labouré,–
délier,copier,déliant,délié,–
moucher,parler,mouchant,mouché,se moucher 
télécharger,manger,téléchargeant,téléchargé,–
desserrer,parler,desserrant,desserré,–
frayer,payer,frayant,frayé,se frayer 
friser,parler,frisant,frisé,se friser 
immoler,parler,immolant,immolé,s'immoler 
loucher,parler,louchant,louché,–
patiner,parler,patinant,patiné,–
patrouiller,parler,patrouillant,patrouillé,–
déplorer,parler,déplorant,déploré,–
apitoyer,employer,apitoyant,apitoyé,s'apitoyer 
certifier,copier,certifiant,certifié,se certifier 
comparaître,connaître,comparaissant,comparu,–
surcharger,manger,surchargeant,surchargé,se surcharger 
évaporer,parler,évaporant,évaporé,s'évaporer 
encadrer,parler,encadrant,encadré,–
cocher,parler,cochant,coché,–
dévaster,parler,dévastant,dévasté,–
falsifier,copier,falsifiant,falsifié,–
dégommer,parler,dégommant,dégommé,–
rosser,parler,rossant,rossé,–
asperger,manger,aspergeant,aspergé,s'asperger 
assécher,céder,asséchant,asséché,s'assécher 
divulguer,parler,divulguant,divulgué,–
graisser,parler,graissant,graissé,–
rapatrier,copier,rapatriant,rapatrié,se rapatrier 
suffoquer,parler,suffoquant,suffoqué,–
séjourner,parler,séjournant,séjourné,–
terrasser,parler,terrassant,terrassé,–
atténuer,parler,atténuant,atténué,s'atténuer 
fourguer,parler,fourguant,fourgué,–
roupiller,parler,roupillant,roupillé,–
écoper,parler,écopant,écopé,–
barricader,parler,barricadant,barricadé,se barricader 
déchiqueter,appeler,déchiquetant,déchiqueté,se déchiqueter 
raccourcir,choisir,raccourcissant,raccourci,–
alarmer,parler,alarmant,alarmé,s'alarmer 
concorder,parler,concordant,concordé,–
délibérer,céder,délibérant,délibéré,–
entrevoir,voir,entrevoyant,entrevu,s'entrevoir 
plumer,parler,plumant,plumé,–
postuler,parler,postulant,postulé,–
restituer,parler,restituant,restitué,se restituer 
élucider,parler,élucidant,élucidé,–
côtoyer,employer,côtoyant,côtoyé,se côtoyer 
dramatiser,parler,dramatisant,dramatisé,–
expier,copier,expiant,expié,–
modeler,acheter,modelant,modelé,se modeler 
resplendir,choisir,resplendissant,resplendi,–
réchapper,parler,réchappant,réchappé,–
vagabonder,parler,vagabondant,vagabondé,–
chavirer,parler,chavirant,chaviré,–
exiler,parler,exilant,exilé,s'exiler 
inaugurer,parler,inaugurant,inauguré,–
recopier,copier,recopiant,recopié,–
apprivoiser,parler,apprivoisant,apprivoisé,s'apprivoiser 
exceller,parler,excellant,excellé,–
blinder,parler,blindant,blindé,se blinder 
crouler,parler,croulant,croulé,–
embobiner,parler,embobinant,embobiné,–
percher,parler,perchant,perché,se percher 
foudroyer,employer,foudroyant,foudroyé,–
fusionner,parler,fusionnant,fusionné,–
outrager,manger,outrageant,outragé,s'outrager 
débiner,parler,débinant,débiné,se débiner 
rallier,copier,ralliant,rallié,se rallier 
chiper,parler,chipant,chipé,–
greffer,parler,greffant,greffé,se greffer 
intuber,parler,intubant,intubé,–
rénover,parler,rénovant,rénové,–
handicaper,parler,handicapant,handicapé,–
soutirer,parler,soutirant,soutiré,–
capituler,parler,capitulant,capitulé,–
convoiter,parler,convoitant,convoité,–
exaspérer,céder,exaspérant,exaspéré,s'exaspérer 
délaisser,parler,délaissant,délaissé,se délaisser 
ramollir,choisir,ramollissant,ramolli,se ramollir 
scruter,parler,scrutant,scruté,se scruter 
endosser,parler,endossant,endossé,–
esquinter,parler,esquintant,esquinté,s'esquinter 
paître,paître,paissant,pu,–
détailler,parler,détaillant,détaillé,–
entraver,parler,entravant,entravé,s'entraver 
enfler,parler,enflant,enflé,–
lester,parler,lestant,lesté,se lester 
perfectionner,parler,perfectionnant,perfectionné,se perfectionner 
sangloter,parler,sanglotant,sangloté,–
recracher,parler,recrachant,recraché,–
accommoder,parler,accommodant,accommodé,s'accommoder 
curer,parler,curant,curé,se curer 
peigner,parler,peignant,peigné,–
resservir,servir,resservant,resservi,se resservir 
élancer,commencer,élançant,élancé,s'élancer 
dépeindre,atteindre,dépeignant,dépeint,se dépeindre 
détraquer,parler,détraquant,détraqué,–
recréer,créer,recréant,recréé,se recréer 
équivaloir,valoir,équivalant,équivalu,s'équivaloir 
encombrer,parler,encombrant,encombré,s'encombrer 
tanner,parler,tannant,tanné,–
écrabouiller,parler,écrabouillant,écrabouillé,–
feuilleter,appeler,feuilletant,feuilleté,se feuilleter 
frissonner,parler,frissonnant,frissonné,–
rabattre,battre,rabattant,rabattu,se rabattre 
tasser,parler,tassant,tassé,se tasser 
bourdonner,parler,bourdonnant,bourdonné,–
cicatriser,parler,cicatrisant,cicatrisé,–
rouer,parler,rouant,roué,se rouer 
borner,parler,bornant,borné,se borner 
camoufler,parler,camouflant,camouflé,se camoufler 
coder,parler,codant,codé,–
décerner,parler,décernant,décerné,–
fortifier,copier,fortifiant,fortifié,se fortifier 
taxer,parler,taxant,taxé,se taxer 
assoupir,choisir,assoupissant,assoupi,s'assoupir 
dédaigner,parler,dédaignant,dédaigné,–
hacher,parler,hachant,haché,–
pressentir,partir,pressentant,pressenti,se pressentir 
boutonner,parler,boutonnant,boutonné,se boutonner 
censurer,parler,censurant,censuré,se censurer 
civiliser,parler,civilisant,civilisé,se civiliser 
collecter,parler,collectant,collecté,–
congédier,copier,congédiant,congédié,–
pétrifier,copier,pétrifiant,pétrifié,se pétrifier 
raviver,parler,ravivant,ravivé,se raviver 
soustraire,distraire,soustrayant,soustrait,se soustraire 
reluquer,parler,reluquant,reluqué,–
éparpiller,parler,éparpillant,éparpillé,s'éparpiller 
assouvir,choisir,assouvissant,assouvi,s'assouvir 
coordonner,parler,coordonnant,coordonné,se coordonner 
quereller,parler,querellant,querellé,se quereller 
dompter,parler,domptant,dompté,se dompter 
noircir,choisir,noircissant,noirci,se noircir 
replonger,manger,replongeant,replongé,se replonger 
accoupler,parler,accouplant,accouplé,s'accoupler 
dérouiller,parler,dérouillant,dérouillé,se dérouiller 
dévisager,manger,dévisageant,dévisagé,–
jongler,parler,jonglant,jonglé,–
rattacher,parler,rattachant,rattaché,se rattacher 
atteler,appeler,attelant,attelé,s'atteler 
cavaler,parler,cavalant,cavalé,–
réquisitionner,parler,réquisitionnant,réquisitionné,–
sympathiser,parler,sympathisant,sympathisé,–
chamailler,parler,chamaillant,chamaillé,se chamailler 
endurcir,choisir,endurcissant,endurci,s'endurcir 
minimiser,parler,minimisant,minimisé,se minimiser 
réputer,parler,réputant,réputé,–
synchroniser,parler,synchronisant,synchronisé,se synchroniser 
bafouiller,parler,bafouillant,bafouillé,–
désintégrer,céder,désintégrant,désintégré,–
malmener,lever,malmenant,malmené,se malmener 
subsister,parler,subsistant,subsisté,–
tripler,parler,triplant,triplé,–
élaborer,parler,élaborant,élaboré,–
électrocuter,parler,électrocutant,électrocuté,s'électrocuter 
amorcer,commencer,amorçant,amorcé,s'amorcer 
dénuer,parler,dénuant,dénué,–
munir,choisir,munissant,muni,se munir 
rider,parler,ridant,ridé,se rider 
choir,choir,–,chu,–
crisper,parler,crispant,crispé,se crisper 
infester,parler,infestant,infesté,–
séquestrer,parler,séquestrant,séquestré,se séquestrer 
arrondir,choisir,arrondissant,arrondi,s'arrondir 
fantasmer,parler,fantasmant,fantasmé,se fantasmer 
lisser,parler,lissant,lissé,se lisser 
minuter,parler,minutant,minuté,–
radoter,parler,radotant,radoté,–
rectifier,copier,rectifiant,rectifié,–
ricaner,parler,ricanant,ricané,–
voiturer,parler,voiturant,voituré,se voiturer 
épiler,parler,épilant,épilé,s'épiler 
sous-entendre,vendre,sous-entendant,sous-entendu,–
cartonner,parler,cartonnant,cartonné,–
recouvrer,parler,recouvrant,recouvré,–
actionner,parler,actionnant,actionné,–
morfler,parler,morflant,morflé,–
primer,parler,primant,primé,se primer 
arpenter,parler,arpentant,arpenté,–
assortir,choisir,assortissant,assorti,s'assortir 
déceler,acheter,décelant,décelé,se déceler 
exorciser,parler,exorcisant,exorcisé,–
sillonner,parler,sillonnant,sillonné,–
uriner,parler,urinant,uriné,–
volatiliser,parler,volatilisant,volatilisé,se volatiliser 
rivaliser,parler,rivalisant,rivalisé,–
opter,parler,optant,opté,–
retoucher,parler,retouchant,retouché,–
éclabousser,parler,éclaboussant,éclaboussé,s'éclabousser 
éjaculer,parler,éjaculant,éjaculé,–
broncher,parler,bronchant,bronché,–
déverser,parler,déversant,déversé,–
justicier,copier,justiciant,justicié,–
rasseoir,asseoir,"rasseyant, rassoyant",rassis,se rasseoir 
équilibrer,parler,équilibrant,équilibré,s'équilibrer 
enfanter,parler,enfantant,enfanté,–
ferrer,parler,ferrant,ferré,–
immuniser,parler,immunisant,immunisé,s'immuniser 
tortiller,parler,tortillant,tortillé,se tortiller 
aménager,manger,aménageant,aménagé,s'aménager 
façonner,parler,façonnant,façonné,–
immerger,manger,immergeant,immergé,s'immerger 
chagriner,parler,chagrinant,chagriné,–
débouler,parler,déboulant,déboulé,–
déloger,manger,délogeant,délogé,–
tonner,parler,tonnant,tonné,–
coïncider,parler,coïncidant,coïncidé,–
diagnostiquer,parler,diagnostiquant,diagnostiqué,se diagnostiquer 
narguer,parler,narguant,nargué,–
valser,parler,valsant,valsé,–
casquer,parler,casquant,casqué,se casquer 
recourir,courir,recourant,recouru,se recourir 
soudoyer,employer,soudoyant,soudoyé,se soudoyer 
épauler,parler,épaulant,épaulé,–
aplatir,choisir,aplatissant,aplati,s'aplatir 
dédicacer,commencer,dédicaçant,dédicacé,se dédicacer 
ériger,manger,érigeant,érigé,s'ériger 
bouillonner,parler,bouillonnant,bouillonné,–
boumer,parler,boumant,–,–
chopper,parler,choppant,choppé,–
cibler,parler,ciblant,ciblé,–
déléguer,céder,déléguant,délégué,se déléguer 
facturer,parler,facturant,facturé,–
pister,parler,pistant,pisté,–
redémarrer,parler,redémarrant,redémarré,–
sucrer,parler,sucrant,sucré,se sucrer 
baratiner,parler,baratinant,baratiné,–
parfumer,parler,parfumant,parfumé,se parfumer 
attiser,parler,attisant,attisé,–
canaliser,parler,canalisant,canalisé,se canaliser 
refouler,parler,refoulant,refoulé,se refouler 
affranchir,choisir,affranchissant,affranchi,s'affranchir 
bâiller,parler,bâillant,bâillé,–
débiter,parler,débitant,débité,–
gager,manger,gageant,gagé,–
poireauter,parler,poireautant,poireauté,–
vaciller,parler,vacillant,vacillé,–
accoster,parler,accostant,accosté,s'accoster 
cribler,parler,criblant,criblé,se cribler 
exalter,parler,exaltant,exalté,s'exalter 
fricoter,parler,fricotant,fricoté,–
perpétrer,céder,perpétrant,perpétré,–
spéculer,parler,spéculant,spéculé,–
gigoter,parler,gigotant,gigoté,–
bonder,parler,bondant,bondé,–
déambuler,parler,déambulant,déambulé,–
empoigner,parler,empoignant,empoigné,–
régénérer,céder,régénérant,régénéré,se régénérer 
assombrir,choisir,assombrissant,assombri,s'assombrir 
brusquer,parler,brusquant,brusqué,se brusquer 
confiner,parler,confinant,confiné,se confiner 
démanteler,acheter,démantelant,démantelé,se démanteler 
photocopier,copier,photocopiant,photocopié,–
surestimer,parler,surestimant,surestimé,se surestimer 
tarir,choisir,tarissant,tari,se tarir 
glorifier,copier,glorifiant,glorifié,se glorifier 
corser,parler,corsant,corsé,se corser 
envoûter,parler,envoûtant,envoûté,–
focaliser,parler,focalisant,focalisé,se focaliser 
injurier,copier,injuriant,injurié,s'injurier 
palper,parler,palpant,palpé,se palper 
saturer,parler,saturant,saturé,se saturer 
seller,parler,sellant,sellé,–
stipuler,parler,stipulant,stipulé,–
épouvanter,parler,épouvantant,épouvanté,s'épouvanter 
abouler,parler,aboulant,aboulé,s'abouler 
déstabiliser,parler,déstabilisant,déstabilisé,se déstabiliser 
hocher,parler,hochant,hoché,–
préconiser,parler,préconisant,préconisé,se préconiser 
ancrer,parler,ancrant,ancré,s'ancrer 
concéder,céder,concédant,concédé,–
durcir,choisir,durcissant,durci,se durcir 
empiler,parler,empilant,empilé,–
flétrir,choisir,flétrissant,flétri,se flétrir 
peler,acheter,pelant,pelé,se peler 
papoter,parler,papotant,papoté,–
plomber,parler,plombant,plombé,–
recycler,parler,recyclant,recyclé,se recycler 
scintiller,parler,scintillant,scintillé,–
vernir,choisir,vernissant,verni,se vernir 
hausser,parler,haussant,haussé,–
imprégner,céder,imprégnant,imprégné,s'imprégner 
