infinitif,conjugated_like,participe_présent,participe_passé,forme_pronominale
coûter,parler,coûtant,coûté,–
parier,copier,pariant,parié,–
appartenir,tenir,appartenant,appartenu,s'appartenir 
remarquer,parler,remarquant,remarqué,se remarquer 
rater,parler,ratant,raté,se rater 
retirer,parler,retirant,retiré,se retirer 
tenter,parler,tentant,tenté,se tenter 
partager,manger,partageant,partagé,se partager 
ressentir,partir,ressentant,ressenti,se ressentir 
défendre,vendre,défendant,défendu,se défendre 
fatiguer,parler,fatiguant,fatigué,se fatiguer 
prévoir,voir,prévoyant,prévu,se prévoir 
douter,parler,doutant,douté,se douter 
apprécier,copier,appréciant,apprécié,s'apprécier 
fuir,fuir,fuyant,fui,se fuir 
bosser,parler,bossant,bossé,–
respirer,parler,respirant,respiré,–
récupérer,céder,récupérant,récupéré,se récupérer 
libérer,céder,libérant,libéré,se libérer 
lancer,commencer,lançant,lancé,se lancer 
durer,parler,durant,duré,–
laver,parler,lavant,lavé,se laver 
sonner,parler,sonnant,sonné,–
deviner,parler,devinant,deviné,–
ravir,choisir,ravissant,ravi,se ravir 
avenir,tenir,avenant,avenu,–
traverser,parler,traversant,traversé,–
retenir,tenir,retenant,retenu,se retenir 
remonter,parler,remontant,remonté,se remonter 
réaliser,parler,réalisant,réalisé,se réaliser 
moquer,parler,moquant,moqué,se moquer 
étudier,copier,étudiant,étudié,–
installer,parler,installant,installé,s'installer 
proposer,parler,proposant,proposé,se proposer 
emporter,parler,emportant,emporté,s'emporter 
engager,manger,engageant,engagé,s'engager 
cesser,parler,cessant,cessé,–
signifier,copier,signifiant,signifié,se signifier 
réparer,parler,réparant,réparé,–
construire,traduire,construisant,construit,se construire 
chier,copier,chiant,chié,–
profiter,parler,profitant,profité,–
pleuvoir,pleuvoir,pleuvant,plu,–
séparer,parler,séparant,séparé,se séparer 
désirer,parler,désirant,désiré,–
traîner,parler,traînant,traîné,se traîner 
respecter,parler,respectant,respecté,se respecter 
diriger,manger,dirigeant,dirigé,se diriger 
crever,lever,crevant,crevé,se crever 
poursuivre,suivre,poursuivant,poursuivi,se poursuivre 
forcer,commencer,forçant,forcé,se forcer 
grandir,choisir,grandissant,grandi,–
interdire,dire,interdisant,interdit,s'interdire 
baisser,parler,baissant,baissé,se baisser 
enterrer,parler,enterrant,enterré,s'enterrer 
causer,parler,causant,causé,se causer 
survivre,vivre,survivant,survécu,–
commander,parler,commandant,commandé,–
ennuyer,employer,ennuyant,ennuyé,s'ennuyer 
prêter,parler,prêtant,prêté,se prêter 
nettoyer,employer,nettoyant,nettoyé,se nettoyer 
atteindre,atteindre,atteignant,atteint,–
rouler,parler,roulant,roulé,se rouler 
débarrasser,parler,débarrassant,débarrassé,se débarrasser 
avouer,parler,avouant,avoué,s'avouer 
plaindre,craindre,plaignant,plaint,se plaindre 
remplir,choisir,remplissant,rempli,se remplir 
contrôler,parler,contrôlant,contrôlé,se contrôler 
taper,parler,tapant,tapé,se taper 
téléphoner,parler,téléphonant,téléphoné,se téléphoner 
dépendre,vendre,dépendant,dépendu,–
parfaire,faire,parfaisant,parfait,se parfaire 
étranger,manger,étrangeant,étrangé,–
renvoyer,envoyer,renvoyant,renvoyé,se renvoyer 
repartir,partir,repartant,reparti,–
enfermer,parler,enfermant,enfermé,s'enfermer 
habiller,parler,habillant,habillé,s'habiller 
refaire,faire,refaisant,refait,se refaire 
gêner,parler,gênant,gêné,se gêner 
éteindre,atteindre,éteignant,éteint,s'éteindre 
rapporter,parler,rapportant,rapporté,se rapporter 
coincer,commencer,coinçant,coincé,se coincer 
surprendre,prendre,surprenant,surpris,se surprendre 
convaincre,vaincre,convainquant,convaincu,se convaincre 
livrer,parler,livrant,livré,se livrer 
